ordinal,name,location,country,variant,lengthKm,commonTrackName,category,path,mapUrl,pitMapUrl,startFinishMapUrl,turnsMapUrl,cornersPerLap,pitRoadSpeedLimitMph,numberPitStalls,maxCars,nightLighting,rainEnabled,latitude,longitude,timeZone
96,Sebring International Raceway,"Sebring, Florida",USA,Modified,3.17,,road,tracks\sebring\modified,https://members-assets.iracing.com/public/track-maps/tracks_sebring/96-sebring-modified/active.svg,https://members-assets.iracing.com/public/track-maps/tracks_sebring/96-sebring-modified/pitroad.svg,https://members-assets.iracing.com/public/track-maps/tracks_sebring/96-sebring-modified/start-finish.svg,https://members-assets.iracing.com/public/track-maps/tracks_sebring/96-sebring-modified/turns.svg,9,45,62,64,true,true,27.4550124,-81.3518741,America/New_York
97,Sebring International Raceway,"Sebring, Florida",USA,Club,2.816,,road,tracks\sebring\club,https://members-assets.iracing.com/public/track-maps/tracks_sebring/97-sebring-club/active.svg,https://members-assets.iracing.com/public/track-maps/tracks_sebring/97-sebring-club/pitroad.svg,https://members-assets.iracing.com/public/track-maps/tracks_sebring/97-sebring-club/start-finish.svg,https://members-assets.iracing.com/public/track-maps/tracks_sebring/97-sebring-club/turns.svg,11,45,29,58,true,true,27.4550124,-81.3518741,America/New_York
101,Bristol Motor Speedway,"Bristol, Tennessee",USA,Dual Pit Roads,0.858,,oval,tracks\bristol,https://members-assets.iracing.com/public/track-maps/tracks_bristol/101-bristol/active.svg,https://members-assets.iracing.com/public/track-maps/tracks_bristol/101-bristol/pitroad.svg,https://members-assets.iracing.com/public/track-maps/tracks_bristol/101-bristol/start-finish.svg,https://members-assets.iracing.com/public/track-maps/tracks_bristol/101-bristol/turns.svg,4,30,43,64,true,false,36.515694,-82.2591607,America/New_York
103,Las Vegas Motor Speedway,"Las Vegas, Nevada",USA,Oval,2.414,,oval,tracks\vegas\oval,https://members-assets.iracing.com/public/track-maps/tracks_vegas/103-vegas-oval/active.svg,https://members-assets.iracing.com/public/track-maps/tracks_vegas/103-vegas-oval/pitroad.svg,https://members-assets.iracing.com/public/track-maps/tracks_vegas/103-vegas-oval/start-finish.svg,https://members-assets.iracing.com/public/track-maps/tracks_vegas/103-vegas-oval/turns.svg,4,50,43,64,true,false,36.2722847,-115.0124701,America/Los_Angeles
104,[Legacy] Phoenix Raceway - 2008,"Avondale, Arizona",USA,Oval,1.609,,oval,tracks\phoenix\oval,https://members-assets.iracing.com/public/track-maps/tracks_phoenix/104-phoenix-oval/active.svg,https://members-assets.iracing.com/public/track-maps/tracks_phoenix/104-phoenix-oval/pitroad.svg,https://members-assets.iracing.com/public/track-maps/tracks_phoenix/104-phoenix-oval/start-finish.svg,https://members-assets.iracing.com/public/track-maps/tracks_phoenix/104-phoenix-oval/turns.svg,4,45,43,64,false,false,33.37487,-112.313415,America/Phoenix
105,[Legacy] Phoenix Raceway - 2008,"Avondale, Arizona",USA,Road Course,2.43,,road,tracks\phoenix\road,https://members-assets.iracing.com/public/track-maps/tracks_phoenix/105-phoenix-road/active.svg,https://members-assets.iracing.com/public/track-maps/tracks_phoenix/105-phoenix-road/pitroad.svg,https://members-assets.iracing.com/public/track-maps/tracks_phoenix/105-phoenix-road/start-finish.svg,https://members-assets.iracing.com/public/track-maps/tracks_phoenix/105-phoenix-road/turns.svg,13,30,51,76,false,true,33.37487,-112.313415,America/Phoenix
110,Las Vegas Motor Speedway,"Las Vegas, Nevada",USA,Legends Oval,0.402,,oval,tracks\vegas\legends,https://members-assets.iracing.com/public/track-maps/tracks_vegas/110-vegas-legends/active.svg,https://members-assets.iracing.com/public/track-maps/tracks_vegas/110-vegas-legends/pitroad.svg,https://members-assets.iracing.com/public/track-maps/tracks_vegas/110-vegas-legends/start-finish.svg,https://members-assets.iracing.com/public/track-maps/tracks_vegas/110-vegas-legends/turns.svg,4,35,22,33,false,false,36.2722847,-115.0124701,America/Los_Angeles
111,Las Vegas Motor Speedway,"Las Vegas, Nevada",USA,Road Course Long,1.722,,road,tracks\vegas\roadlong,https://members-assets.iracing.com/public/track-maps/tracks_vegas/111-vegas-roadlong/active.svg,https://members-assets.iracing.com/public/track-maps/tracks_vegas/111-vegas-roadlong/pitroad.svg,https://members-assets.iracing.com/public/track-maps/tracks_vegas/111-vegas-roadlong/start-finish.svg,https://members-assets.iracing.com/public/track-maps/tracks_vegas/111-vegas-roadlong/turns.svg,10,35,23,60,false,true,36.2722847,-115.0124701,America/Los_Angeles
112,Las Vegas Motor Speedway,"Las Vegas, Nevada",USA,Road Course Short,1.207,,road,tracks\vegas\roadshort,https://members-assets.iracing.com/public/track-maps/tracks_vegas/112-vegas-roadshort/active.svg,https://members-assets.iracing.com/public/track-maps/tracks_vegas/112-vegas-roadshort/pitroad.svg,https://members-assets.iracing.com/public/track-maps/tracks_vegas/112-vegas-roadshort/start-finish.svg,https://members-assets.iracing.com/public/track-maps/tracks_vegas/112-vegas-roadshort/turns.svg,6,35,23,60,false,true,36.2722847,-115.0124701,America/Los_Angeles
113,Las Vegas Motor Speedway,"Las Vegas, Nevada",USA,Infield Legends Oval,0.547,,oval,tracks\vegas\inflegends,https://members-assets.iracing.com/public/track-maps/tracks_vegas/113-vegas-inflegends/active.svg,https://members-assets.iracing.com/public/track-maps/tracks_vegas/113-vegas-inflegends/pitroad.svg,https://members-assets.iracing.com/public/track-maps/tracks_vegas/113-vegas-inflegends/start-finish.svg,https://members-assets.iracing.com/public/track-maps/tracks_vegas/113-vegas-inflegends/turns.svg,4,35,7,10,false,false,36.2722847,-115.0124701,America/Los_Angeles
