ordinal,name,path,category,imageUrl
122,BMW M4 F82 GT4 - 2018,cars\bmwm4gt4,sports_car,https://images-static.iracing.com/img/cars/bmwm4gt4/bmwm4gt4-small.jpg
123,NASCAR Truck Ford F150,cars\trucks\fordf150,oval,https://images-static.iracing.com/img/cars/carid_123/fordf150-small.jpg
124,NASCAR Legends Chevrolet Monte Carlo - 1987,cars\stockcars\chevymontecarlo87,oval,https://images-static.iracing.com/img/cars/nascarchevroletmontecarlo1987/nascarchevroletmontecarlo1987-small.jpg
125,NASCAR Legends Ford Thunderbird - 1987,cars\stockcars\fordthunderbird87,oval,https://images-static.iracing.com/img/cars/nascarfordthunderbird1987/nascarfordthunderbird1987-small.jpg
127,Chevrolet Corvette C8.R GTE,cars\c8rvettegte,sports_car,https://images-static.iracing.com/img/cars/chevroletcorvettec8rgte/chevroletcorvettec8rgte-small.jpg
128,Dallara P217,cars\dallarap217,sports_car,https://images-static.iracing.com/img/cars/dallarap217/dallarap217-small.jpg
129,Dallara iR-01,cars\dallarair01,formula_car,https://images-static.iracing.com/img/cars/dallarair01/dallarair01-small.jpg
131,Dirt Big Block Modified,cars\dirtmodified\bigblock,dirt_oval,https://images-static.iracing.com/img/cars/dirtbigblock/dirtbigblock-small.jpg
132,BMW M4 GT3 EVO,cars\bmwm4gt3,sports_car,https://images-static.iracing.com/img/cars/carid_132/bmwm4gt3evo-small.jpg
133,Lamborghini Huracán GT3 EVO,cars\lamborghinievogt3,sports_car,https://images-static.iracing.com/img/cars/lamborghinihuracangt3evo/lamborghinihuracangt3evo-small.jpg
134,Dirt 358 Modified,cars\dirtmodified\358,dirt_oval,https://images-static.iracing.com/img/cars/dirtbigblock/dirtbigblock-small.jpg
135,McLaren 570S GT4,cars\mclaren570sgt4,sports_car,https://images-static.iracing.com/img/cars/mclaren570sgt4/mclaren570sgt4-small.jpg
137,[Legacy] Porsche 911 GT3 R,cars\porsche911rgt3,sports_car,https://images-static.iracing.com/img/cars/porsche911gt3r/porsche911gt3r-small.jpg
138,VW Beetle - Lite,cars\vwbeetlegrc\lite,dirt_road,https://images-static.iracing.com/img/cars/vwbeetlelite/vwbeetlelite-small.jpg
139,NASCAR Cup Series Next Gen Chevrolet Camaro ZL1,cars\stockcars\chevycamarozl12022,oval,https://images-static.iracing.com/img/cars/nextgenchevroletcamarozl1/nascarcupseriesnextgenchevroletcamarozl1-small.jpg
140,NASCAR Cup Series Next Gen Ford Mustang,cars\stockcars\fordmustang2022,oval,https://images-static.iracing.com/img/cars/nextgenfordmustang/nascarcupseriesnextgenfordmustang-small.jpg
141,NASCAR Cup Series Next Gen Toyota Camry,cars\stockcars\toyotacamry2022,oval,https://images-static.iracing.com/img/cars/nextgentoyotacamry/nascarcupseriesnextgentoyotacamry-small.jpg
142,Formula Vee,cars\formulavee,formula_car,https://images-static.iracing.com/img/cars/formulavee/formulavee-small.jpg
143,[Legacy] Porsche 911 GT3 Cup (992.1),cars\porsche992cup,sports_car,https://images-static.iracing.com/img/cars/porsche992cup/porsche992cup-small.jpg
144,Ferrari 488 GT3 Evo 2020,cars\ferrarievogt3,sports_car,https://images-static.iracing.com/img/cars/ferrari488gt3evo/ferrari488gt3evo-small.jpg
145,Mercedes-AMG W12 E Performance,cars\mercedesw12,formula_car,https://images-static.iracing.com/img/cars/mercedesamgw12eperformance/mercedesamgw12eperformance-small.jpg
146,Hyundai Elantra N TCR,cars\hyundaielantracn7,sports_car,https://images-static.iracing.com/img/cars/hyundaielantracn7/hyundaielantracn7-small.jpg
147,Honda Civic Type R TCR,cars\hondacivictyper,sports_car,https://images-static.iracing.com/img/cars/hondacivictyper/hondacivictyper-small.jpg
148,FIA F4,cars\formulair04,formula_car,https://images-static.iracing.com/img/cars/carid_148/carid_148-small.jpg
149,Radical SR10,cars\radicalsr10,sports_car,https://images-static.iracing.com/img/cars/radicalsr10/radicalsr10-small.jpg
150,Aston Martin Vantage GT4,cars\amvantagegt4,sports_car,https://images-static.iracing.com/img/cars/amvantagegt4/amvantagegt4-small.jpg
151,Stock Car Brasil Chevrolet Cruze,cars\stockcarbrasil\cruze,sports_car,https://images-static.iracing.com/img/cars/stockcarproserieschevroletcruze/stockcarproserieschevroletcruze-small.jpg
