#options: 2748x1554 fps=60/1 timebase=1/60 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=15 lookahead_threads=5 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=abr mbtree=1 bitrate=4600 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:107 out:108 type:b dur:2 cpbdur:2 q:24.45 aq:19.07 tex:541 mv:959 misc:2524 imb:13 pmb:554 smb:16289 d:- ref:0 ;
in:112 out:109 type:P dur:2 cpbdur:2 q:24.47 aq:15.27 tex:227726 mv:10657 misc:3353 imb:681 pmb:1150 smb:15025 d:- ref:0 ;
in:110 out:110 type:B dur:2 cpbdur:2 q:24.47 aq:23.46 tex:87281 mv:8285 misc:3066 imb:148 pmb:929 smb:15779 d:- ref:0 ;
in:109 out:111 type:b dur:4 cpbdur:4 q:24.46 aq:18.89 tex:524 mv:690 misc:2498 imb:3 pmb:558 smb:16295 d:- ref:0 ;
in:111 out:112 type:b dur:2 cpbdur:2 q:24.47 aq:24.02 tex:752 mv:735 misc:2529 imb:4 pmb:546 smb:16306 d:- ref:0 ;
in:116 out:113 type:P dur:2 cpbdur:2 q:24.48 aq:14.15 tex:265453 mv:11057 misc:6450 imb:860 pmb:2028 smb:13968 d:- ref:0 ;
in:114 out:114 type:B dur:2 cpbdur:2 q:24.48 aq:23.17 tex:94375 mv:8580 misc:3045 imb:140 pmb:937 smb:15779 d:- ref:0 ;
in:113 out:115 type:b dur:2 cpbdur:2 q:24.47 aq:17.06 tex:942 mv:740 misc:2366 imb:8 pmb:514 smb:16334 d:- ref:0 ;
in:115 out:116 type:b dur:2 cpbdur:2 q:24.48 aq:20.82 tex:1114 mv:710 misc:2440 imb:5 pmb:543 smb:16308 d:- ref:0 ;
in:120 out:117 type:P dur:2 cpbdur:2 q:24.55 aq:14.72 tex:214266 mv:10888 misc:4486 imb:719 pmb:1345 smb:14792 d:- ref:0 ;
in:118 out:118 type:B dur:2 cpbdur:2 q:24.52 aq:22.00 tex:105023 mv:8572 misc:3061 imb:169 pmb:956 smb:15731 d:- ref:0 ;
in:117 out:119 type:b dur:2 cpbdur:2 q:24.50 aq:18.40 tex:374 mv:625 misc:2297 imb:7 pmb:498 smb:16351 d:- ref:0 ;
in:119 out:120 type:b dur:2 cpbdur:2 q:24.53 aq:21.77 tex:1603 mv:1025 misc:2452 imb:4 pmb:552 smb:16300 d:- ref:0 ;
in:124 out:121 type:P dur:2 cpbdur:2 q:24.59 aq:14.86 tex:204080 mv:10867 misc:3621 imb:919 pmb:1229 smb:14708 d:- ref:0 ;
in:122 out:122 type:B dur:2 cpbdur:2 q:24.57 aq:23.07 tex:94763 mv:9182 misc:2983 imb:118 pmb:967 smb:15771 d:- ref:0 ;
in:121 out:123 type:b dur:2 cpbdur:2 q:24.56 aq:19.84 tex:663 mv:708 misc:2317 imb:12 pmb:489 smb:16355 d:- ref:0 ;
in:123 out:124 type:b dur:2 cpbdur:2 q:24.58 aq:23.86 tex:986 mv:501 misc:2249 imb:6 pmb:474 smb:16376 d:- ref:0 ;
in:128 out:125 type:P dur:4 cpbdur:4 q:22.22 aq:14.63 tex:290888 mv:13040 misc:5528 imb:1053 pmb:1653 smb:14150 d:- ref:0 ;
in:126 out:126 type:B dur:2 cpbdur:2 q:23.41 aq:20.51 tex:109872 mv:9978 misc:3502 imb:127 pmb:1247 smb:15482 d:- ref:0 ;
in:125 out:127 type:b dur:2 cpbdur:2 q:24.00 aq:14.60 tex:303 mv:773 misc:2324 imb:9 pmb:501 smb:16346 d:- ref:0 ;
in:127 out:128 type:b dur:4 cpbdur:4 q:22.82 aq:21.49 tex:40111 mv:3361 misc:2992 imb:27 pmb:796 smb:16033 d:- ref:0 ;
in:132 out:129 type:P dur:4 cpbdur:4 q:22.21 aq:15.07 tex:245739 mv:11187 misc:4346 imb:493 pmb:1377 smb:14986 d:- ref:0 ;
in:130 out:130 type:B dur:4 cpbdur:4 q:22.22 aq:20.32 tex:120110 mv:11209 misc:3681 imb:186 pmb:1280 smb:15390 d:- ref:0 ;
